,img_name,ORIG_SHAPE,ORIG_AREA,CROP_SHAPE,CROP_AREA,ymin,ymax,xmin,xmax
0,197_100_t20201119093903298_CAM1.jpg,"(6000, 8192, 3)",49152000,"(5391, 5674, 3)",30588534,321,5712,1138,6812
1,197_100_t20201119093903446_CAM2.jpg,"(6000, 8192, 3)",49152000,"(5390, 5465, 3)",29456350,328,5718,1354,6819
2,197_101_t20201119093931578_CAM1.jpg,"(6000, 8192, 3)",49152000,"(5232, 5493, 3)",28739376,376,5608,1273,6766
3,197_101_t20201119093931724_CAM2.jpg,"(6000, 8192, 3)",49152000,"(5233, 5292, 3)",27693036,383,5616,1482,6774
4,197_102_t20201119094019927_CAM1.jpg,"(6000, 8192, 3)",49152000,"(5327, 5607, 3)",29868489,336,5663,1231,6838
5,197_106_t20201119094152770_CAM1.jpg,"(6000, 8192, 3)",49152000,"(5260, 5532, 3)",29098320,362,5622,1219,6751
6,197_107_t20201119094230725_CAM1.jpg,"(6000, 8192, 3)",49152000,"(5249, 5516, 3)",28953484,362,5611,1285,6801
7,197_107_t20201119094230877_CAM2.jpg,"(6000, 8192, 3)",49152000,"(5250, 5313, 3)",27893250,369,5619,1494,6807
8,197_109_t20201119094330701_CAM3.jpg,"(3500, 4096, 3)",14336000,"(2780, 2998, 3)",8334440,612,3392,543,3541
9,197_109_t20201119094331202_CAM1.jpg,"(6000, 8192, 3)",49152000,"(5341, 5625, 3)",30043125,330,5671,1172,6797
10,197_109_t20201119094331354_CAM2.jpg,"(6000, 8192, 3)",49152000,"(5343, 5420, 3)",28959060,337,5680,1385,6805
11,197_10_t20201119085402164_CAM1.jpg,"(6000, 8192, 3)",49152000,"(5494, 5780, 3)",31755320,290,5784,1056,6836
12,197_10_t20201119085402318_CAM2.jpg,"(6000, 8192, 3)",49152000,"(5493, 5564, 3)",30563052,298,5791,1277,6841
13,197_110_t20201119094344242_CAM1.jpg,"(6000, 8192, 3)",49152000,"(5476, 5760, 3)",31541760,299,5775,977,6737
14,197_113_t2020111909444377_CAM1.jpg,"(6000, 8192, 3)",49152000,"(5398, 5681, 3)",30666038,312,5710,1096,6777
15,197_114_t20201119094504836_CAM1.jpg,"(6000, 8192, 3)",49152000,"(5583, 5885, 3)",32855955,268,5851,987,6872
